00:17:23 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
00:22:45 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
00:30:07 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
00:34:51 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
00:46:32 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
00:50:54 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
01:24:56 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
01:30:40 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
01:32:06 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
01:37:21 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
01:38:20 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
01:41:38 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
01:42:19 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
01:49:22 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
01:50:25 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
01:51:54 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
01:54:30 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
01:55:59 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
01:58:16 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
02:11:27 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
02:35:39 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
02:47:46 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
04:13:19 [AccountInfo] Account connected (Account: TEST123, IpAddress: 192.168.99.1, GameServerCode: 0)
04:13:35 [AccountInfo] Account disconnected (Account: TEST123, IpAddress: 192.168.99.1, GameServerCode: 0)
10:11:14 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
10:20:36 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
10:35:37 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
10:42:20 [SECURITY][JoinServer] Duplicate account connect (Account: test1234, IpAddress: 192.168.99.1, CurrentServerCode: 0, PreviousServerCode: 0, DuplicateCount: 1)
10:42:20 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
10:42:29 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
10:57:23 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
11:19:42 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
11:22:29 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
11:30:44 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
11:32:39 [SECURITY][JoinServer] Duplicate account connect (Account: test1234, IpAddress: 192.168.99.1, CurrentServerCode: 0, PreviousServerCode: 0, DuplicateCount: 1)
11:32:40 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
12:27:58 [AccountInfo] Account connected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
12:32:34 [AccountInfo] Account disconnected (Account: test1234, IpAddress: 192.168.99.1, GameServerCode: 0)
